Category: All categories

Month,neural network: (United States),deep learning: (United States)
2004-01,81,0
2004-02,68,0
2004-03,100,0
2004-04,95,10
2004-05,86,6
2004-06,55,0
2004-07,75,0
2004-08,42,0
2004-09,79,0
2004-10,58,7
2004-11,77,0
2004-12,68,0
2005-01,34,0
2005-02,61,0
2005-03,40,8
2005-04,70,0
2005-05,51,4
2005-06,53,0
2005-07,42,4
2005-08,55,0
2005-09,40,4
2005-10,46,6
2005-11,62,4
2005-12,45,0
2006-01,35,0
2006-02,47,3
2006-03,30,8
2006-04,42,0
2006-05,37,3
2006-06,25,3
2006-07,26,0
2006-08,30,2
2006-09,34,0
2006-10,43,6
2006-11,38,0
2006-12,35,0
2007-01,19,4
2007-02,30,2
2007-03,37,0
2007-04,29,0
2007-05,25,3
2007-06,28,0
2007-07,22,3
2007-08,25,0
2007-09,31,5
2007-10,22,2
2007-11,39,1
2007-12,27,4
2008-01,26,1
2008-02,34,2
2008-03,32,3
2008-04,25,3
2008-05,26,2
2008-06,28,2
2008-07,18,4
2008-08,18,1
2008-09,20,3
2008-10,26,2
2008-11,26,0
2008-12,19,1
2009-01,19,2
2009-02,29,3
2009-03,28,5
2009-04,27,1
2009-05,20,2
2009-06,17,5
2009-07,20,1
2009-08,20,3
2009-09,14,2
2009-10,21,5
2009-11,29,6
2009-12,19,2
2010-01,17,3
2010-02,24,4
2010-03,22,2
2010-04,22,2
2010-05,30,2
2010-06,18,3
2010-07,12,5
2010-08,15,1
2010-09,16,2
2010-10,25,4
2010-11,21,4
2010-12,16,3
2011-01,15,2
2011-02,20,2
2011-03,19,3
2011-04,23,4
2011-05,18,4
2011-06,17,4
2011-07,16,4
2011-08,15,3
2011-09,18,4
2011-10,20,5
2011-11,19,4
2011-12,19,2
2012-01,12,4
2012-02,17,3
2012-03,19,3
2012-04,19,4
2012-05,18,5
2012-06,14,3
2012-07,16,3
2012-08,12,4
2012-09,17,2
2012-10,22,4
2012-11,20,8
2012-12,17,5
2013-01,14,4
2013-02,19,5
2013-03,19,6
2013-04,20,6
2013-05,18,6
2013-06,16,7
2013-07,17,7
2013-08,14,7
2013-09,19,7
2013-10,21,9
2013-11,20,9
2013-12,19,10
2014-01,16,9
2014-02,20,12
2014-03,23,12
2014-04,25,10
2014-05,20,14
2014-06,18,12
2014-07,19,11
2014-08,19,10
2014-09,21,13
2014-10,25,14
2014-11,27,14
2014-12,24,20
2015-01,21,23
2015-02,28,24
2015-03,29,24
2015-04,33,23
2015-05,33,21
2015-06,37,25
2015-07,53,25
2015-08,31,29
2015-09,36,24
2015-10,38,29
2015-11,40,31
2015-12,34,30
2016-01,30,34
2016-02,38,32
2016-03,47,40
2016-04,44,43
2016-05,44,41
2016-06,44,44
2016-07,37,39
2016-08,34,42
2016-09,44,47
2016-10,48,54
2016-11,57,56
2016-12,52,58
2017-01,47,65
2017-02,57,66
2017-03,64,78
2017-04,77,81
2017-05,64,77
2017-06,61,80
2017-07,58,63
2017-08,59,83
2017-09,63,79
2017-10,77,88
2017-11,78,91
2017-12,68,84
2018-01,60,89
2018-02,74,91
2018-03,73,89
2018-04,80,85
2018-05,68,89
2018-06,58,81
2018-07,59,77
2018-08,57,78
2018-09,61,81
2018-10,70,85
2018-11,77,85
2018-12,60,73
2019-01,55,82
2019-02,67,82
2019-03,72,87
2019-04,78,94
2019-05,63,82
2019-06,59,78
2019-07,58,74
2019-08,55,74
2019-09,64,81
2019-10,64,83
2019-11,62,72
2019-12,52,67
2020-01,52,73
2020-02,68,75
2020-03,51,64
2020-04,63,68
2020-05,56,70
2020-06,56,70
2020-07,51,68
2020-08,46,62
2020-09,53,64
2020-10,48,65
2020-11,42,53
2020-12,36,53
2021-01,32,50
2021-02,35,58
2021-03,42,53
2021-04,42,52
2021-05,39,53
2021-06,36,51
2021-07,33,46
2021-08,31,49
2021-09,40,54
2021-10,49,62
2021-11,52,61
2021-12,42,56
2022-01,46,64
2022-02,63,81
2022-03,71,82
2022-04,86,92
2022-05,67,76
2022-06,54,69
2022-07,55,71
2022-08,52,67
