Category: All categories

Month,amazon: (United States)
2004-01,10
2004-02,9
2004-03,8
2004-04,9
2004-05,9
2004-06,10
2004-07,10
2004-08,11
2004-09,11
2004-10,10
2004-11,12
2004-12,16
2005-01,13
2005-02,11
2005-03,11
2005-04,11
2005-05,12
2005-06,12
2005-07,12
2005-08,13
2005-09,12
2005-10,12
2005-11,14
2005-12,19
2006-01,14
2006-02,13
2006-03,12
2006-04,12
2006-05,12
2006-06,13
2006-07,13
2006-08,14
2006-09,14
2006-10,13
2006-11,16
2006-12,19
2007-01,15
2007-02,14
2007-03,13
2007-04,12
2007-05,14
2007-06,13
2007-07,15
2007-08,15
2007-09,15
2007-10,14
2007-11,18
2007-12,23
2008-01,15
2008-02,14
2008-03,14
2008-04,14
2008-05,15
2008-06,16
2008-07,14
2008-08,17
2008-09,17
2008-10,17
2008-11,21
2008-12,29
2009-01,21
2009-02,18
2009-03,17
2009-04,16
2009-05,17
2009-06,17
2009-07,17
2009-08,18
2009-09,18
2009-10,18
2009-11,23
2009-12,29
2010-01,21
2010-02,19
2010-03,18
2010-04,19
2010-05,20
2010-06,18
2010-07,19
2010-08,20
2010-09,22
2010-10,22
2010-11,30
2010-12,36
2011-01,32
2011-02,33
2011-03,29
2011-04,30
2011-05,30
2011-06,31
2011-07,32
2011-08,35
2011-09,37
2011-10,35
2011-11,46
2011-12,57
2012-01,44
2012-02,41
2012-03,39
2012-04,39
2012-05,38
2012-06,40
2012-07,43
2012-08,44
2012-09,46
2012-10,45
2012-11,60
2012-12,67
2013-01,53
2013-02,48
2013-03,47
2013-04,48
2013-05,50
2013-06,49
2013-07,54
2013-08,54
2013-09,51
2013-10,47
2013-11,61
2013-12,76
2014-01,54
2014-02,50
2014-03,49
2014-04,49
2014-05,49
2014-06,51
2014-07,52
2014-08,56
2014-09,51
2014-10,53
2014-11,71
2014-12,79
2015-01,57
2015-02,52
2015-03,53
2015-04,52
2015-05,51
2015-06,57
2015-07,63
2015-08,65
2015-09,56
2015-10,58
2015-11,73
2015-12,87
2016-01,55
2016-02,50
2016-03,49
2016-04,49
2016-05,52
2016-06,54
2016-07,60
2016-08,56
2016-09,52
2016-10,53
2016-11,68
2016-12,77
2017-01,59
2017-02,57
2017-03,56
2017-04,56
2017-05,59
2017-06,64
2017-07,69
2017-08,66
2017-09,64
2017-10,65
2017-11,79
2017-12,91
2018-01,68
2018-02,63
2018-03,65
2018-04,62
2018-05,61
2018-06,62
2018-07,73
2018-08,67
2018-09,65
2018-10,65
2018-11,81
2018-12,83
2019-01,67
2019-02,63
2019-03,63
2019-04,62
2019-05,69
2019-06,72
2019-07,80
2019-08,78
2019-09,68
2019-10,68
2019-11,87
2019-12,96
2020-01,73
2020-02,69
2020-03,85
2020-04,94
2020-05,97
2020-06,88
2020-07,85
2020-08,80
2020-09,77
2020-10,86
2020-11,88
2020-12,100
2021-01,82
2021-02,78
2021-03,81
2021-04,77
2021-05,73
2021-06,79
2021-07,71
2021-08,73
2021-09,76
2021-10,75
2021-11,82
2021-12,91
2022-01,80
2022-02,76
2022-03,73
2022-04,70
2022-05,72
2022-06,78
2022-07,84
2022-08,81
