Category: All categories

Month,frisbee: (United States)
2004-01,43
2004-02,53
2004-03,68
2004-04,92
2004-05,100
2004-06,83
2004-07,79
2004-08,72
2004-09,81
2004-10,68
2004-11,48
2004-12,48
2005-01,51
2005-02,46
2005-03,62
2005-04,88
2005-05,93
2005-06,82
2005-07,75
2005-08,64
2005-09,69
2005-10,59
2005-11,50
2005-12,42
2006-01,46
2006-02,41
2006-03,56
2006-04,79
2006-05,82
2006-06,78
2006-07,64
2006-08,59
2006-09,63
2006-10,55
2006-11,45
2006-12,39
2007-01,33
2007-02,34
2007-03,51
2007-04,61
2007-05,70
2007-06,61
2007-07,56
2007-08,57
2007-09,61
2007-10,47
2007-11,40
2007-12,33
2008-01,31
2008-02,37
2008-03,42
2008-04,54
2008-05,63
2008-06,63
2008-07,52
2008-08,51
2008-09,49
2008-10,44
2008-11,35
2008-12,31
2009-01,31
2009-02,38
2009-03,42
2009-04,57
2009-05,63
2009-06,59
2009-07,53
2009-08,53
2009-09,51
2009-10,38
2009-11,35
2009-12,30
2010-01,27
2010-02,35
2010-03,44
2010-04,56
2010-05,57
2010-06,55
2010-07,47
2010-08,44
2010-09,45
2010-10,41
2010-11,27
2010-12,24
2011-01,24
2011-02,31
2011-03,39
2011-04,47
2011-05,63
2011-06,58
2011-07,52
2011-08,45
2011-09,44
2011-10,42
2011-11,33
2011-12,31
2012-01,29
2012-02,34
2012-03,49
2012-04,56
2012-05,65
2012-06,55
2012-07,50
2012-08,42
2012-09,44
2012-10,37
2012-11,29
2012-12,24
2013-01,30
2013-02,29
2013-03,35
2013-04,45
2013-05,55
2013-06,50
2013-07,50
2013-08,46
2013-09,43
2013-10,37
2013-11,30
2013-12,25
2014-01,27
2014-02,27
2014-03,37
2014-04,47
2014-05,63
2014-06,53
2014-07,49
2014-08,44
2014-09,43
2014-10,38
2014-11,30
2014-12,27
2015-01,24
2015-02,28
2015-03,37
2015-04,46
2015-05,53
2015-06,52
2015-07,45
2015-08,46
2015-09,43
2015-10,36
2015-11,30
2015-12,27
2016-01,22
2016-02,28
2016-03,36
2016-04,43
2016-05,49
2016-06,41
2016-07,42
2016-08,37
2016-09,36
2016-10,32
2016-11,27
2016-12,21
2017-01,21
2017-02,28
2017-03,31
2017-04,39
2017-05,41
2017-06,39
2017-07,37
2017-08,38
2017-09,35
2017-10,32
2017-11,25
2017-12,21
2018-01,22
2018-02,26
2018-03,27
2018-04,34
2018-05,41
2018-06,37
2018-07,38
2018-08,33
2018-09,33
2018-10,29
2018-11,21
2018-12,19
2019-01,20
2019-02,21
2019-03,27
2019-04,32
2019-05,40
2019-06,36
2019-07,33
2019-08,33
2019-09,32
2019-10,26
2019-11,22
2019-12,19
2020-01,22
2020-02,22
2020-03,25
2020-04,28
2020-05,34
2020-06,36
2020-07,31
2020-08,31
2020-09,31
2020-10,24
2020-11,21
2020-12,20
2021-01,18
2021-02,18
2021-03,26
2021-04,30
2021-05,33
2021-06,35
2021-07,33
2021-08,29
2021-09,29
2021-10,25
2021-11,22
2021-12,21
2022-01,19
2022-02,22
2022-03,29
2022-04,32
2022-05,36
2022-06,37
2022-07,39
2022-08,34
2022-09,33
