Category: All categories

Month,yahoo: (United States)
2004-01,40
2004-02,40
2004-03,40
2004-04,40
2004-05,42
2004-06,48
2004-07,46
2004-08,46
2004-09,46
2004-10,46
2004-11,49
2004-12,50
2005-01,48
2005-02,47
2005-03,49
2005-04,57
2005-05,56
2005-06,57
2005-07,59
2005-08,60
2005-09,62
2005-10,62
2005-11,63
2005-12,62
2006-01,61
2006-02,62
2006-03,66
2006-04,60
2006-05,66
2006-06,68
2006-07,71
2006-08,69
2006-09,68
2006-10,71
2006-11,71
2006-12,71
2007-01,67
2007-02,71
2007-03,72
2007-04,69
2007-05,75
2007-06,74
2007-07,75
2007-08,77
2007-09,79
2007-10,77
2007-11,76
2007-12,76
2008-01,71
2008-02,75
2008-03,75
2008-04,78
2008-05,78
2008-06,80
2008-07,83
2008-08,83
2008-09,91
2008-10,91
2008-11,93
2008-12,93
2009-01,93
2009-02,93
2009-03,94
2009-04,90
2009-05,89
2009-06,94
2009-07,93
2009-08,96
2009-09,100
2009-10,98
2009-11,99
2009-12,96
2010-01,91
2010-02,90
2010-03,92
2010-04,95
2010-05,97
2010-06,98
2010-07,93
2010-08,97
2010-09,95
2010-10,98
2010-11,95
2010-12,91
2011-01,95
2011-02,97
2011-03,98
2011-04,96
2011-05,92
2011-06,92
2011-07,90
2011-08,97
2011-09,94
2011-10,96
2011-11,92
2011-12,91
2012-01,92
2012-02,84
2012-03,86
2012-04,90
2012-05,90
2012-06,84
2012-07,85
2012-08,85
2012-09,90
2012-10,100
2012-11,99
2012-12,97
2013-01,93
2013-02,89
2013-03,87
2013-04,91
2013-05,88
2013-06,82
2013-07,86
2013-08,84
2013-09,86
2013-10,78
2013-11,72
2013-12,74
2014-01,69
2014-02,66
2014-03,66
2014-04,63
2014-05,65
2014-06,63
2014-07,64
2014-08,66
2014-09,68
2014-10,62
2014-11,65
2014-12,60
2015-01,57
2015-02,57
2015-03,58
2015-04,55
2015-05,55
2015-06,54
2015-07,55
2015-08,58
2015-09,57
2015-10,55
2015-11,52
2015-12,50
2016-01,45
2016-02,42
2016-03,44
2016-04,40
2016-05,42
2016-06,43
2016-07,41
2016-08,43
2016-09,44
2016-10,39
2016-11,40
2016-12,38
2017-01,37
2017-02,38
2017-03,37
2017-04,38
2017-05,37
2017-06,39
2017-07,38
2017-08,41
2017-09,40
2017-10,40
2017-11,38
2017-12,38
2018-01,37
2018-02,38
2018-03,36
2018-04,35
2018-05,31
2018-06,31
2018-07,32
2018-08,33
2018-09,34
2018-10,32
2018-11,29
2018-12,31
2019-01,30
2019-02,28
2019-03,28
2019-04,27
2019-05,29
2019-06,29
2019-07,29
2019-08,30
2019-09,31
2019-10,29
2019-11,28
2019-12,28
2020-01,30
2020-02,29
2020-03,33
2020-04,32
2020-05,30
2020-06,32
2020-07,32
2020-08,30
2020-09,30
2020-10,32
2020-11,30
2020-12,32
2021-01,31
2021-02,32
2021-03,30
2021-04,31
2021-05,29
2021-06,31
2021-07,28
2021-08,31
2021-09,30
2021-10,29
2021-11,29
2021-12,30
2022-01,27
2022-02,27
2022-03,25
2022-04,26
2022-05,26
2022-06,27
2022-07,26
2022-08,27
2022-09,25
