Category: All categories

Month,golf: (United States)
2004-01,44
2004-02,51
2004-03,62
2004-04,79
2004-05,83
2004-06,98
2004-07,95
2004-08,84
2004-09,64
2004-10,50
2004-11,40
2004-12,43
2005-01,46
2005-02,48
2005-03,60
2005-04,80
2005-05,79
2005-06,100
2005-07,92
2005-08,85
2005-09,64
2005-10,50
2005-11,43
2005-12,43
2006-01,44
2006-02,48
2006-03,56
2006-04,76
2006-05,77
2006-06,90
2006-07,86
2006-08,81
2006-09,63
2006-10,48
2006-11,39
2006-12,39
2007-01,39
2007-02,45
2007-03,56
2007-04,72
2007-05,77
2007-06,90
2007-07,85
2007-08,78
2007-09,61
2007-10,46
2007-11,38
2007-12,37
2008-01,40
2008-02,45
2008-03,51
2008-04,68
2008-05,69
2008-06,87
2008-07,79
2008-08,66
2008-09,53
2008-10,40
2008-11,29
2008-12,32
2009-01,32
2009-02,39
2009-03,47
2009-04,64
2009-05,65
2009-06,77
2009-07,74
2009-08,68
2009-09,50
2009-10,37
2009-11,33
2009-12,30
2010-01,31
2010-02,32
2010-03,44
2010-04,62
2010-05,58
2010-06,65
2010-07,61
2010-08,56
2010-09,44
2010-10,33
2010-11,26
2010-12,26
2011-01,30
2011-02,37
2011-03,41
2011-04,53
2011-05,56
2011-06,68
2011-07,65
2011-08,59
2011-09,43
2011-10,33
2011-11,29
2011-12,29
2012-01,30
2012-02,35
2012-03,44
2012-04,56
2012-05,56
2012-06,72
2012-07,61
2012-08,53
2012-09,46
2012-10,31
2012-11,26
2012-12,25
2013-01,30
2013-02,33
2013-03,40
2013-04,52
2013-05,55
2013-06,64
2013-07,59
2013-08,54
2013-09,41
2013-10,31
2013-11,25
2013-12,24
2014-01,27
2014-02,29
2014-03,38
2014-04,46
2014-05,49
2014-06,57
2014-07,56
2014-08,51
2014-09,39
2014-10,29
2014-11,23
2014-12,24
2015-01,26
2015-02,29
2015-03,35
2015-04,47
2015-05,48
2015-06,59
2015-07,58
2015-08,51
2015-09,39
2015-10,29
2015-11,25
2015-12,25
2016-01,26
2016-02,32
2016-03,37
2016-04,49
2016-05,50
2016-06,59
2016-07,55
2016-08,49
2016-09,39
2016-10,32
2016-11,26
2016-12,26
2017-01,29
2017-02,34
2017-03,38
2017-04,47
2017-05,48
2017-06,60
2017-07,57
2017-08,51
2017-09,41
2017-10,33
2017-11,27
2017-12,27
2018-01,30
2018-02,34
2018-03,41
2018-04,49
2018-05,51
2018-06,61
2018-07,57
2018-08,53
2018-09,43
2018-10,30
2018-11,25
2018-12,25
2019-01,29
2019-02,34
2019-03,38
2019-04,49
2019-05,53
2019-06,62
2019-07,58
2019-08,51
2019-09,39
2019-10,30
2019-11,26
2019-12,27
2020-01,29
2020-02,34
2020-03,32
2020-04,33
2020-05,52
2020-06,63
2020-07,63
2020-08,64
2020-09,49
2020-10,42
2020-11,37
2020-12,36
2021-01,34
2021-02,39
2021-03,50
2021-04,59
2021-05,64
2021-06,67
2021-07,70
2021-08,62
2021-09,50
2021-10,42
2021-11,36
2021-12,36
2022-01,37
2022-02,43
2022-03,49
2022-04,57
2022-05,60
2022-06,79
2022-07,73
2022-08,63
2022-09,53
