Category: All categories

Month,mask: (United States)
2004-01,4
2004-02,4
2004-03,4
2004-04,4
2004-05,4
2004-06,4
2004-07,4
2004-08,4
2004-09,5
2004-10,7
2004-11,5
2004-12,4
2005-01,4
2005-02,5
2005-03,4
2005-04,4
2005-05,5
2005-06,5
2005-07,4
2005-08,4
2005-09,5
2005-10,7
2005-11,5
2005-12,4
2006-01,4
2006-02,5
2006-03,5
2006-04,5
2006-05,4
2006-06,5
2006-07,4
2006-08,4
2006-09,5
2006-10,6
2006-11,4
2006-12,4
2007-01,4
2007-02,4
2007-03,4
2007-04,4
2007-05,4
2007-06,4
2007-07,4
2007-08,4
2007-09,4
2007-10,7
2007-11,4
2007-12,4
2008-01,4
2008-02,4
2008-03,4
2008-04,4
2008-05,4
2008-06,4
2008-07,4
2008-08,4
2008-09,5
2008-10,8
2008-11,5
2008-12,4
2009-01,4
2009-02,5
2009-03,5
2009-04,6
2009-05,5
2009-06,4
2009-07,4
2009-08,4
2009-09,5
2009-10,7
2009-11,5
2009-12,4
2010-01,4
2010-02,5
2010-03,5
2010-04,4
2010-05,5
2010-06,4
2010-07,4
2010-08,4
2010-09,5
2010-10,7
2010-11,5
2010-12,4
2011-01,5
2011-02,5
2011-03,5
2011-04,5
2011-05,5
2011-06,5
2011-07,5
2011-08,5
2011-09,5
2011-10,8
2011-11,6
2011-12,6
2012-01,6
2012-02,6
2012-03,6
2012-04,6
2012-05,6
2012-06,6
2012-07,7
2012-08,7
2012-09,7
2012-10,9
2012-11,6
2012-12,6
2013-01,7
2013-02,6
2013-03,6
2013-04,6
2013-05,7
2013-06,6
2013-07,7
2013-08,7
2013-09,7
2013-10,10
2013-11,7
2013-12,7
2014-01,7
2014-02,8
2014-03,8
2014-04,8
2014-05,7
2014-06,7
2014-07,7
2014-08,7
2014-09,7
2014-10,10
2014-11,8
2014-12,7
2015-01,8
2015-02,8
2015-03,8
2015-04,7
2015-05,7
2015-06,7
2015-07,7
2015-08,8
2015-09,8
2015-10,12
2015-11,8
2015-12,9
2016-01,9
2016-02,9
2016-03,9
2016-04,9
2016-05,11
2016-06,8
2016-07,9
2016-08,8
2016-09,11
2016-10,14
2016-11,10
2016-12,11
2017-01,12
2017-02,12
2017-03,13
2017-04,13
2017-05,12
2017-06,12
2017-07,12
2017-08,11
2017-09,11
2017-10,15
2017-11,11
2017-12,12
2018-01,13
2018-02,11
2018-03,11
2018-04,11
2018-05,10
2018-06,11
2018-07,11
2018-08,10
2018-09,11
2018-10,16
2018-11,12
2018-12,11
2019-01,12
2019-02,12
2019-03,11
2019-04,10
2019-05,10
2019-06,10
2019-07,10
2019-08,10
2019-09,10
2019-10,15
2019-11,11
2019-12,11
2020-01,14
2020-02,22
2020-03,41
2020-04,100
2020-05,59
2020-06,49
2020-07,70
2020-08,45
2020-09,35
2020-10,36
2020-11,28
2020-12,26
2021-01,27
2021-02,26
2021-03,27
2021-04,24
2021-05,31
2021-06,20
2021-07,23
2021-08,33
2021-09,23
2021-10,24
2021-11,18
2021-12,21
2022-01,32
2022-02,31
2022-03,20
2022-04,19
2022-05,13
2022-06,13
2022-07,14
2022-08,12
2022-09,12
