Category: All categories

Month,playoffs: (United States)
2004-01,4
2004-02,2
2004-03,2
2004-04,5
2004-05,5
2004-06,2
2004-07,1
2004-08,1
2004-09,2
2004-10,5
2004-11,6
2004-12,3
2005-01,7
2005-02,2
2005-03,2
2005-04,4
2005-05,5
2005-06,2
2005-07,1
2005-08,1
2005-09,1
2005-10,5
2005-11,7
2005-12,4
2006-01,8
2006-02,2
2006-03,2
2006-04,6
2006-05,7
2006-06,3
2006-07,1
2006-08,1
2006-09,2
2006-10,5
2006-11,7
2006-12,5
2007-01,8
2007-02,2
2007-03,3
2007-04,8
2007-05,8
2007-06,2
2007-07,1
2007-08,1
2007-09,3
2007-10,6
2007-11,7
2007-12,6
2008-01,8
2008-02,2
2008-03,3
2008-04,8
2008-05,10
2008-06,3
2008-07,1
2008-08,1
2008-09,2
2008-10,5
2008-11,7
2008-12,7
2009-01,7
2009-02,2
2009-03,3
2009-04,10
2009-05,12
2009-06,3
2009-07,1
2009-08,1
2009-09,2
2009-10,6
2009-11,7
2009-12,5
2010-01,11
2010-02,2
2010-03,3
2010-04,12
2010-05,11
2010-06,5
2010-07,1
2010-08,1
2010-09,2
2010-10,8
2010-11,7
2010-12,6
2011-01,16
2011-02,4
2011-03,4
2011-04,20
2011-05,21
2011-06,11
2011-07,2
2011-08,2
2011-09,4
2011-10,8
2011-11,8
2011-12,8
2012-01,18
2012-02,3
2012-03,4
2012-04,18
2012-05,23
2012-06,15
2012-07,2
2012-08,2
2012-09,3
2012-10,11
2012-11,8
2012-12,12
2013-01,15
2013-02,4
2013-03,4
2013-04,17
2013-05,27
2013-06,21
2013-07,2
2013-08,2
2013-09,5
2013-10,10
2013-11,10
2013-12,14
2014-01,18
2014-02,3
2014-03,5
2014-04,25
2014-05,36
2014-06,16
2014-07,2
2014-08,2
2014-09,5
2014-10,10
2014-11,11
2014-12,17
2015-01,18
2015-02,4
2015-03,5
2015-04,33
2015-05,37
2015-06,14
2015-07,2
2015-08,2
2015-09,5
2015-10,26
2015-11,13
2015-12,15
2016-01,44
2016-02,4
2016-03,5
2016-04,49
2016-05,69
2016-06,19
2016-07,2
2016-08,2
2016-09,5
2016-10,36
2016-11,15
2016-12,19
2017-01,44
2017-02,5
2017-03,6
2017-04,55
2017-05,67
2017-06,17
2017-07,2
2017-08,3
2017-09,5
2017-10,44
2017-11,15
2017-12,21
2018-01,47
2018-02,5
2018-03,7
2018-04,83
2018-05,100
2018-06,19
2018-07,2
2018-08,3
2018-09,7
2018-10,41
2018-11,17
2018-12,29
2019-01,38
2019-02,6
2019-03,9
2019-04,75
2019-05,81
2019-06,21
2019-07,2
2019-08,3
2019-09,8
2019-10,39
2019-11,17
2019-12,25
2020-01,72
2020-02,6
2020-03,4
2020-04,3
2020-05,3
2020-06,3
2020-07,3
2020-08,30
2020-09,41
2020-10,25
2020-11,7
2020-12,13
2021-01,37
2021-02,4
2021-03,3
2021-04,5
2021-05,36
2021-06,68
2021-07,21
2021-08,3
2021-09,5
2021-10,35
2021-11,16
2021-12,14
2022-01,53
2022-02,6
2022-03,8
2022-04,42
2022-05,70
2022-06,28
2022-07,3
2022-08,5
2022-09,6
